merchantID,customerID,loanReferenceNumber,ISO8583Message
TEST102,CTEST102,LRTEST10,"0200723C440088E19000164761731234560010090497000000004999042813271012345613271004282803768912304123400ABC0000100TERM0002GOOGLEOFC123@ABGOOGLE OFFC ,4-52 michgan Street, NY, US015IAMSENDINGMONEYUSD00000000000004D2"
TEST102,CTEST102,LRTEST11,"0200723C440088E19000164761731234560010090497000000000100042813271012345613271004282803768912304123400ABC0000100TERM0002GOOGLEOFC123@ABGOOGLE OFFC ,4-52 michgan Street, NY, US015IAMSENDINGMONEYUSD00000000000004D2"
TEST102,CTEST102,LRTEST12,"0200723C440088E19000164761731234560010090497000000004500042813271012345613271004282803768912304123400ABC0000100TERM0002GOOGLEOFC123@ABGOOGLE OFFC ,4-52 michgan Street, NY, US015IAMSENDINGMONEYUSD00000000000004D2"
TEST102,CTEST102,LRTEST13,"0200723C440088E19000164761731234560010090497000000050500042813271012345613271004282803768912304123400ABC0000100TERM0002GOOGLEOFC123@ABGOOGLE OFFC ,4-52 michgan Street, NY, US015IAMSENDINGMONEYUSD00000000000004D2"
TEST102,CTEST102,LRTEST14,"0200723C440088E19000164761731234560010090497000000000300042813271012345613271004282803768912304123400ABC0000100TERM0002GOOGLEOFC123@ABGOOGLE OFFC ,4-52 michgan Street, NY, US015IAMSENDINGMONEYUSD00000000000004D2"
TEST102,CTEST102,LRTEST15,"0200723C440088E19000164761731234560010090497000001000500042813271012345613271004282803768912304123400ABC0000100TERM0002GOOGLEOFC123@ABGOOGLE OFFC ,4-52 michgan Street, NY, US015IAMSENDINGMONEYUSD00000000000004D2"
TEST102,CTEST102,LRTEST16,"0200723C440088E19000164761731234560010090497000000003521042813271012345613271004282803768912304123400ABC0000100TERM0002GOOGLEOFC123@ABGOOGLE OFFC ,4-52 michgan Street, NY, US015IAMSENDINGMONEYUSD00000000000004D2"
TEST102,CTEST102,LRTEST17,"0200723C440088E19000164761731234560010090497000000003440042813271012345613271004282803768912304123400ABC0000100TERM0002GOOGLEOFC123@ABGOOGLE OFFC ,4-52 michgan Street, NY, US015IAMSENDINGMONEYUSD00000000000004D2"
TEST102,CTEST102,LRTEST18,"0200723C440088E19000164761731234560010090497000000002500042813271012345613271004282803768912304123400ABC0000100TERM0002GOOGLEOFC123@ABGOOGLE OFFC ,4-52 michgan Street, NY, US015IAMSENDINGMONEYUSD00000000000004D2"
TEST102,CTEST102,LRTEST19,"0200723C440088E19000164761731234560010090497000000010000042813271012345613271004282803768912304123400ABC0000100TERM0002GOOGLEOFC123@ABGOOGLE OFFC ,4-52 michgan Street, NY, US015IAMSENDINGMONEYUSD00000000000004D2"
TEST102,CTEST102,LRTEST20,"0200723C440088E19000164761731234560010090497000000005500042813271012345613271004282803768912304123400ABC0000100TERM0002GOOGLEOFC123@ABGOOGLE OFFC ,4-52 michgan Street, NY, US015IAMSENDINGMONEYUSD00000000000004D2"
TEST102,CTEST102,LRTEST21,"0200723C440088E19000164761731234560010090497000000000100042813271012345613271004282803768912304123400ABC0000100TERM0002GOOGLEOFC123@ABGOOGLE OFFC ,4-52 michgan Street, NY, US015IAMSENDINGMONEYUSD00000000000004D2"
